ep,delta_required,success,status,message
5,0.19980272044284714,True,0,Optimization terminated successfully
5,0.19971723714135697,True,0,Optimization terminated successfully
5,0.20024641175130498,True,0,Optimization terminated successfully
5,0.20089194373690347,True,0,Optimization terminated successfully
5,0.20099227015537913,True,0,Optimization terminated successfully
5,0.20178877959583696,True,0,Optimization terminated successfully
5,0.20151442919901247,True,0,Optimization terminated successfully
5,0.20095930279197188,True,0,Optimization terminated successfully
5,0.20004312415731004,True,0,Optimization terminated successfully
5,0.19982060781808003,True,0,Optimization terminated successfully
5,0.2005029577048331,True,0,Optimization terminated successfully
5,0.20162964539155928,True,0,Optimization terminated successfully
5,0.20263688244111752,True,0,Optimization terminated successfully
5,0.20295990120869975,True,0,Optimization terminated successfully
5,0.20327228752651727,True,0,Optimization terminated successfully
5,0.20281534671495377,True,0,Optimization terminated successfully
5,0.20288089199825876,True,0,Optimization terminated successfully
5,0.2032995509773745,True,0,Optimization terminated successfully
5,0.20377466612546302,True,0,Optimization terminated successfully
5,0.20400008689012628,True,0,Optimization terminated successfully
5,0.20367659691498574,True,0,Optimization terminated successfully
5,0.20408632841327343,True,0,Optimization terminated successfully
5,0.20463477815894401,True,0,Optimization terminated successfully
5,0.20433318031875383,True,0,Optimization terminated successfully
5,0.20467324705954087,True,0,Optimization terminated successfully
5,0.20508386633829478,True,0,Optimization terminated successfully
5,0.20529530816046426,True,0,Optimization terminated successfully
5,0.2052394240650388,True,0,Optimization terminated successfully
5,0.20562366015247724,True,0,Optimization terminated successfully
5,0.20534369814855183,True,0,Optimization terminated successfully
5,0.20481982636959398,True,0,Optimization terminated successfully
5,0.20390476543532943,True,0,Optimization terminated successfully
5,0.203150213476276,True,0,Optimization terminated successfully
5,0.20230398163401206,True,0,Optimization terminated successfully
5,0.20204562745550617,True,0,Optimization terminated successfully
5,0.20075296284846325,True,0,Optimization terminated successfully
5,0.2001122849354313,True,0,Optimization terminated successfully
5,0.19953954181882078,True,0,Optimization terminated successfully
5,0.19883733852778268,True,0,Optimization terminated successfully
5,0.1972090620988274,True,0,Optimization terminated successfully
5,0.1960163424064151,True,0,Optimization terminated successfully
5,0.19462586019807798,True,0,Optimization terminated successfully
5,0.19401173653310788,True,0,Optimization terminated successfully
5,0.19373742493770776,True,0,Optimization terminated successfully
5,0.19408896333677986,True,0,Optimization terminated successfully
5,0.19465675280056013,True,0,Optimization terminated successfully
5,0.1950526543127467,True,0,Optimization terminated successfully
5,0.19467944151790958,True,0,Optimization terminated successfully
5,0.19380005473931042,True,0,Optimization terminated successfully
5,0.19327850558929952,True,0,Optimization terminated successfully
5,0.19326015457746729,True,0,Optimization terminated successfully
5,0.19340057030010852,True,0,Optimization terminated successfully
5,0.1939529650108339,True,0,Optimization terminated successfully
5,0.19407055699955153,True,0,Optimization terminated successfully
5,0.19284164995637307,True,0,Optimization terminated successfully
5,0.1917756209874017,True,0,Optimization terminated successfully
5,0.19150917632133485,True,0,Optimization terminated successfully
5,0.19160885640374578,True,0,Optimization terminated successfully
5,0.1915039107185976,True,0,Optimization terminated successfully
5,0.1915156742702966,True,0,Optimization terminated successfully
5,0.19155659630053154,True,0,Optimization terminated successfully
5,0.19174862404689136,True,0,Optimization terminated successfully
5,0.1919713864386264,True,0,Optimization terminated successfully
5,0.19244882930836282,True,0,Optimization terminated successfully
5,0.19201636178815032,True,0,Optimization terminated successfully
5,0.19086440513440994,True,0,Optimization terminated successfully
5,0.18955044268939775,True,0,Optimization terminated successfully
5,0.18944890277411358,True,0,Optimization terminated successfully
5,0.18843191024507427,True,0,Optimization terminated successfully
5,0.18730739192876752,True,0,Optimization terminated successfully
5,0.18699610101879352,True,0,Optimization terminated successfully
5,0.18774962383754246,True,0,Optimization terminated successfully
5,0.18846480778218863,True,0,Optimization terminated successfully
5,0.1892013152952642,True,0,Optimization terminated successfully
5,0.18935995472295095,True,0,Optimization terminated successfully
5,0.18987892281793803,True,0,Optimization terminated successfully
5,0.1902201734860638,True,0,Optimization terminated successfully
5,0.1900835194686652,True,0,Optimization terminated successfully
5,0.1907295510074986,True,0,Optimization terminated successfully
5,0.1907582129183258,True,0,Optimization terminated successfully
5,0.19117009996369191,True,0,Optimization terminated successfully
5,0.19147051658316408,True,0,Optimization terminated successfully
5,0.19125233498458036,True,0,Optimization terminated successfully
5,0.1912771678833044,True,0,Optimization terminated successfully
5,0.19097414929870438,True,0,Optimization terminated successfully
8,0.2589625525464663,True,0,Optimization terminated successfully
13,0.16490775784230358,True,0,Optimization terminated successfully
13,0.20983959034002844,True,0,Optimization terminated successfully
13,0.2549465228825914,True,0,Optimization terminated successfully
13,0.3000237399157969,True,0,Optimization terminated successfully
13,0.34580610705320436,True,0,Optimization terminated successfully
13,0.39218588635117,True,0,Optimization terminated successfully
13,0.4404640009873378,True,0,Optimization terminated successfully
13,0.49038204770538335,True,0,Optimization terminated successfully
13,0.576443922207188,True,0,Optimization terminated successfully
23,0.31904296090101464,True,0,Optimization terminated successfully
23,0.4587087554040583,True,0,Optimization terminated successfully
23,0.19973353892809018,True,0,Optimization terminated successfully
23,0.5389014786139928,True,0,Optimization terminated successfully
23,0.2168151034433247,True,0,Optimization terminated successfully
